,Unnamed: 0,path,label
2806,2806,/content/drive/MyDrive/Bosch/New Dataset/00005/00015_00002.jpg,5
22345,22345,/content/drive/MyDrive/Bosch/New Dataset/00002/00004_00012.jpg,2
27342,27342,/content/drive/MyDrive/Bosch/New Dataset/00029/00005_00020.jpg,29
33496,33496,/content/drive/MyDrive/Bosch/New Dataset/00038/00061_00019.jpg,38
30826,30826,/content/drive/MyDrive/Bosch/New Dataset/00035/00030_00001.jpg,35
21811,21811,/content/drive/MyDrive/Bosch/New Dataset/00002/00035_00011.jpg,2
34523,34523,/content/drive/MyDrive/Bosch/New Dataset/00040/00006_00005.jpg,40
23084,23084,/content/drive/MyDrive/Bosch/New Dataset/00002/00067_00008.jpg,2
20113,20113,/content/drive/MyDrive/Bosch/New Dataset/00001/00073_00024.jpg,1
4440,4440,/content/drive/MyDrive/Bosch/New Dataset/00004/00025_00021.jpg,4
13462,13462,/content/drive/MyDrive/Bosch/New Dataset/00012/00008_00026.jpg,12
17660,17660,/content/drive/MyDrive/Bosch/New Dataset/00014/00001_00011.jpg,14
32123,32123,/content/drive/MyDrive/Bosch/New Dataset/00038/00012_00015.jpg,38
9779,9779,/content/drive/MyDrive/Bosch/New Dataset/00009/00032_00017.jpg,9
2513,2513,/content/drive/MyDrive/Bosch/New Dataset/00005/00016_00016.jpg,5
26942,26942,/content/drive/MyDrive/Bosch/New Dataset/00028/00010_00023.jpg,28
3351,3351,/content/drive/MyDrive/Bosch/New Dataset/00004/00010_00024.jpg,4
16712,16712,/content/drive/MyDrive/Bosch/New Dataset/00013/00049_00012.jpg,13
1650,1650,/content/drive/MyDrive/Bosch/New Dataset/00005/00007_00028.jpg,5
3273,3273,/content/drive/MyDrive/Bosch/New Dataset/00004/00048_00019.jpg,4
38523,38523,/content/drive/MyDrive/Bosch/New Dataset/00021/00002_00024.jpg,21
32873,32873,/content/drive/MyDrive/Bosch/New Dataset/00038/00032_00010.jpg,38
17673,17673,/content/drive/MyDrive/Bosch/New Dataset/00014/00003_00007.jpg,14
1195,1195,/content/drive/MyDrive/Bosch/New Dataset/00003/00020_00020.jpg,3
13533,13533,/content/drive/MyDrive/Bosch/New Dataset/00012/00013_00001.jpg,12
10167,10167,/content/drive/MyDrive/Bosch/New Dataset/00010/00004_00025.jpg,10
36961,36961,/content/drive/MyDrive/Bosch/New Dataset/00018/00024_00015.jpg,18
15301,15301,/content/drive/MyDrive/Bosch/New Dataset/00012/00010_00002.jpg,12
23549,23549,/content/drive/MyDrive/Bosch/New Dataset/00002/00049_00025.jpg,2
4625,4625,/content/drive/MyDrive/Bosch/New Dataset/00004/00062_00025.jpg,4
37114,37114,/content/drive/MyDrive/Bosch/New Dataset/00018/00025_00025.jpg,18
12030,12030,/content/drive/MyDrive/Bosch/New Dataset/00011/00012_00015.jpg,11
36318,36318,/content/drive/MyDrive/Bosch/New Dataset/00017/00027_00017.jpg,17
10477,10477,/content/drive/MyDrive/Bosch/New Dataset/00010/00022_00012.jpg,10
12019,12019,/content/drive/MyDrive/Bosch/New Dataset/00011/00011_00027.jpg,11
2030,2030,/content/drive/MyDrive/Bosch/New Dataset/00005/00038_00020.jpg,5
34322,34322,/content/drive/MyDrive/Bosch/New Dataset/00040/00000_00014.jpg,40
3551,3551,/content/drive/MyDrive/Bosch/New Dataset/00004/00001_00021.jpg,4
37456,37456,/content/drive/MyDrive/Bosch/New Dataset/00018/00029_00001.jpg,18
29857,29857,/content/drive/MyDrive/Bosch/New Dataset/00034/00005_00013.jpg,34
23676,23676,/content/drive/MyDrive/Bosch/New Dataset/00023/00000_00011.jpg,23
33112,33112,/content/drive/MyDrive/Bosch/New Dataset/00038/00036_00010.jpg,38
15619,15619,/content/drive/MyDrive/Bosch/New Dataset/00013/00002_00005.jpg,13
5210,5210,/content/drive/MyDrive/Bosch/New Dataset/00004/00050_00000.jpg,4
27613,27613,/content/drive/MyDrive/Bosch/New Dataset/00032/00000_00010.jpg,32
22458,22458,/content/drive/MyDrive/Bosch/New Dataset/00002/00055_00012.jpg,2
18103,18103,/content/drive/MyDrive/Bosch/New Dataset/00014/00017_00013.jpg,14
30412,30412,/content/drive/MyDrive/Bosch/New Dataset/00035/00001_00023.jpg,35
15466,15466,/content/drive/MyDrive/Bosch/New Dataset/00013/00010_00017.jpg,13
